gene_type,gene_type_4
pseudogene,pseudogene
lincRNA,long-noncoding
protein_coding,protein_coding
antisense,long-noncoding
processed_transcript,long-noncoding
snRNA,short-noncoding
sense_intronic,long-noncoding
miRNA,short-noncoding
misc_RNA,short-noncoding
snoRNA,short-noncoding
rRNA,short-noncoding
3prime_overlapping_ncrna,long-noncoding
polymorphic_pseudogene,protein_coding
sense_overlapping,long-noncoding
IG_V_gene,protein_coding
IG_C_gene,protein_coding
IG_J_gene,protein_coding
IG_V_pseudogene,pseudogene
TR_C_gene,protein_coding
TR_J_gene,protein_coding
TR_V_gene,protein_coding
TR_V_pseudogene,pseudogene
IG_C_pseudogene,pseudogene
TR_D_gene,protein_coding
TR_J_pseudogene,pseudogene
IG_J_pseudogene,pseudogene
IG_D_gene,protein_coding
Mt_tRNA,short-noncoding
Mt_rRNA,short-noncoding
